         79804477 function calls (79163147 primitive calls) in 1254.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1001.553 1001.553 1044.631 1044.631 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1252(<dictcomp>)
        2    0.012    0.006    0.012    0.006 {method 'partition' of 'numpy.ndarray' objects}
        2    0.011    0.006    0.012    0.006 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
15327/11489    0.010    0.000    0.022    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/artist.py:319(stale)
     3115    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.010    0.010    0.010    0.010 {method 'copy' of 'ImagingCore' objects}
     2492    0.010    0.000    0.014    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/font_manager.py:633(__hash__)
      978    0.010    0.000    0.044    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/artist.py:1180(_update_props)
     1880    0.009    0.000    0.012    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:296(process)
       52    0.009    0.000    0.025    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/indexes/base.py:640(_simple_new)
       80    0.008    0.000    0.039    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
       33    0.008    0.000    0.008    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2385(new_block)
      728    0.007    0.000    0.211    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
     2941    0.007    0.000    0.010    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:1772(__init__)
       80    0.007    0.000    0.011    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/ticker.py:744(_set_order_of_magnitude)
     1341    0.007    0.000    0.018    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/transforms.py:754(__init__)
